booking_id,customer_id,driver_id,time_of_day,pickup_area,drop_area,ride_status,estimated_time,actual_time,fare_amount,driver_rating,customer_rating,vehicle_type,day_of_week,surge_multiplier
0,18322,,afternoon,Area_11,Area_8,no_driver_found,25,,182,,3.92,sedan,Fri,1
1,12558,1560,night,Area_6,Area_2,cancelled_by_customer,25,,240,3.81,3.86,sedan,Thu,1
2,18433,1600,night,Area_15,Area_19,completed,16,15,386,3.63,3.03,sedan,Mon,1.2
3,11021,1001,morning,Area_15,Area_7,completed,16,20,114,3.15,4.33,sedan,Sat,2
4,11016,1251,evening,Area_18,Area_12,completed,6,12,349,3.32,4.14,sedan,Fri,1.5
5,19687,1647,afternoon,Area_13,Area_9,completed,19,28,144,3.56,3.79,suv,Wed,1
6,13104,1779,morning,Area_3,Area_1,cancelled_by_driver,9,,310,4.79,4.7,suv,Sun,1.2
7,11028,1768,evening,Area_12,Area_8,cancelled_by_driver,26,,114,2.8,4.43,sedan,Sun,1
8,15116,1563,evening,Area_9,Area_15,completed,19,25,459,2.58,4.27,sedan,Fri,1
9,12693,1573,morning,Area_11,Area_4,completed,17,20,266,4.7,4.25,sedan,Sat,1.2
10,15575,1258,evening,Area_7,Area_1,cancelled_by_customer,5,,,2.5,3.71,suv,Mon,1.2
11,11853,1112,afternoon,Area_10,Area_12,cancelled_by_driver,28,,394,3.8,4.41,mini,Tue,1
12,10854,1219,night,Area_2,Area_3,completed,21,22,192,3.17,4.95,mini,Mon,2
13,12327,1293,evening,Area_12,Area_6,cancelled_by_driver,27,,403,3.42,3.48,mini,Thu,1
14,17098,1763,night,Area_16,Area_16,completed,5,10,203,4.24,4.72,suv,Tue,1.2
15,16616,1952,evening,Area_7,Area_20,completed,13,10,207,4.59,4.35,sedan,Sun,1.2
16,13108,1452,evening,Area_7,Area_16,cancelled_by_driver,20,,139,4.99,4.93,suv,Sun,1
17,18445,1103,afternoon,Area_16,Area_16,completed,7,4,487,4.84,4.57,suv,Sat,1.5
18,18352,,night,Area_18,Area_14,no_driver_found,22,,273,,3.45,mini,Sat,1.2
19,13446,1469,afternoon,Area_8,Area_7,cancelled_by_driver,7,,480,3.86,4.02,sedan,Sat,1
20,17996,,evening,Area_19,Area_8,no_driver_found,6,,356,,3.99,suv,Thu,1.2
21,10301,1348,morning,Area_17,Area_12,cancelled_by_driver,18,,452,4.37,4.91,mini,Sun,1.5
22,17455,1685,night,Area_1,Area_3,cancelled_by_customer,22,,,4.61,4.86,suv,Sat,1
23,12806,1681,afternoon,Area_10,Area_2,completed,21,25,496,4.27,4.11,sedan,Wed,1
24,16002,1971,afternoon,Area_7,Area_4,cancelled_by_driver,17,,99,4.25,4.59,suv,Sun,1.2
25,13124,1263,afternoon,Area_19,Area_17,completed,24,30,405,3.84,3.65,mini,Sun,1
26,14752,1658,morning,Area_20,Area_15,completed,7,11,387,4.92,4.43,suv,Wed,1
27,10559,1117,afternoon,Area_5,Area_9,completed,16,13,137,3.61,3.48,mini,Fri,2
28,17253,,afternoon,Area_7,Area_5,no_driver_found,26,,428,,3.71,mini,Fri,1
29,17421,1611,morning,Area_17,Area_14,completed,24,25,283,4.41,4.61,sedan,Fri,1
30,19207,1768,afternoon,Area_5,Area_4,cancelled_by_driver,6,,259,4.06,4.01,mini,Fri,1
31,15732,1426,morning,Area_2,Area_17,completed,24,32,257,2.82,4.62,suv,Mon,1.2
32,18967,,night,Area_12,Area_13,no_driver_found,16,,174,,4.24,mini,Tue,1
33,10728,1419,evening,Area_19,Area_9,completed,11,11,393,4.07,4.75,mini,Fri,1.2
